,movie_id,genre_id
1064,301502,18
1065,458156,28
1066,458156,53
1067,458156,80
1068,118,12
1069,118,35
1070,118,10751
1071,118,14
1072,991833,16
1073,991833,10751
1074,646385,27
1075,646385,9648
1076,646385,53
1077,72190,28
1078,72190,18
1079,72190,27
1080,72190,878
1081,72190,53
1082,39108,16
1083,39108,28
1084,39108,878
1085,106646,80
1086,106646,18
1087,106646,35
1088,425909,14
1089,425909,35
1090,425909,12
1091,216015,18
1092,216015,10749
1093,216015,53
1094,39254,28
1095,39254,878
1096,39254,18
1097,628964,16
1098,628964,18
1099,628964,14
1100,628964,10751
1101,301528,10751
1102,301528,12
1103,301528,16
1104,301528,35
1105,301528,14
1106,826769,35
1107,826769,10749
1108,464052,28
1109,464052,12
1110,464052,14
1111,453354,18
1112,400160,10751
1113,400160,16
1114,400160,14
1115,400160,12
1116,400160,35
1117,10439,14
1118,10439,35
1119,10439,10751
1120,762968,35
1121,61979,10749
1122,61979,18
1123,345938,18
1124,345938,14
1125,254128,28
1126,254128,18
1127,254128,53
1128,399579,28
1129,399579,878
1130,399579,12
1131,10674,16
1132,10674,10751
1133,10674,12
1134,892527,12
1135,892527,35
1136,892527,10751
1137,926899,16
1138,926899,18
1139,926899,35
1140,926899,27
1141,926899,14
1142,284053,28
1143,284053,12
1144,284053,14
1145,284053,878
1146,284053,35
1147,290271,28
1148,290271,16
1149,290271,12
1150,290271,35
1151,290271,14
1152,762975,10749
1153,762975,18
1154,502235,18
1155,502235,10749
1156,581726,878
1157,581726,28
1158,581726,53
1159,689700,80
1160,1014226,53
1161,1014226,27
1162,629015,53
1163,629015,27
1164,629015,18
1165,728366,80
1166,728366,53
1167,504175,35
1168,504175,27
1169,75624,53
1170,75624,16
1171,75624,28
1172,75624,35
1173,75624,27
1174,75624,9648
1175,1930,28
1176,1930,12
1177,1930,14
1178,370172,12
1179,370172,28
1180,370172,53
1181,339964,12
1182,339964,878
1183,339964,28
1184,899082,99
1185,706503,28
1186,706503,53
1187,706503,80
1188,896448,14
1189,896448,27
1190,896448,53
1191,896448,9648
1192,10195,12
1193,10195,14
1194,10195,28
1195,452773,16
1196,452773,12
1197,452773,35
1198,452773,10751
1199,260346,53
1200,260346,28
1201,109445,16
1202,109445,10751
1203,109445,12
1204,109445,14
1205,44251,16
1206,44251,28
1207,44251,878
1208,829920,16
1209,829920,28
1210,829920,12
1211,829920,14
1212,109418,35
1213,505262,16
1214,505262,28
1215,505262,12
1216,505262,14
1217,13186,27
1218,13186,53
1219,120,12
1220,120,14
1221,120,28
1222,383498,28
